	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
494	map, atlas	ちず	Please look at the map to get here.	<b>ちず</b> を みて きて ください	0	0
495	party	パーティー	Tomorrow I'm having a party at my house.	あした うち で <b>ぱーてぃー</b> を ひらきます	0	0
496	stop, abate	やむ	The rain stopped.	あめ が <b>やみました</b>	0	0
497	sidewalk, footpath	ほどう	Let's walk on the pavement.	<b>ほどう</b> を あるきましょう	0	0
498	carry across, hand over	わたす	I handed him the letter.	かれ に てがみ を <b>わたしました</b>	0	0
499	cross, ford, go across	わたる	We walked over the bridge.	わたしたち は あるいて はし を <b>わたった</b>	0	0
500	year, school year	ねんど	Sales differ by fiscal year.	うりあげ は <b>ねんど</b> に よって ちがいます	0	0
501	this time, next time	こんど	Where do you want to go this time?	<b>こんど</b> は どこ に いきたい です か	0	0
502	glass	ガラス	I bought a crystal glass vase.	くりすたる<b>がらす</b> の かびん を かいました	0	0
503	how many degrees, how many times	なんど	I've been to that shop many times.	あの みせ に は <b>なんど</b> も いきました	0	0
504	late, recent	さいきん	That's the book that people have been talking about lately.	それ は <b>さいきん</b> わだい の ほん です ね	0	0
505	great distance	とおく	I can see a ship in the distance.	<b>とおく</b> に ふね が みえます	0	0
506	president (of a company)	しゃちょう	My aunt is the president of a small firm.	おば は ちいさ な かいしゃ の <b>しゃちょう</b> です	0	0
507	course, route	コース	I'm taking a Japanese course.	わたし は にほんご <b>こーす</b> を とって います	0	0
508	president, chairperson	かいちょう	First was the chairman's greetings.	はじめ に <b>かいちょう</b> が あいさつ した	0	0
509	length	ながさ	The length of this cable is one meter.	この けーぶる の <b>ながさ</b> は いちめーとる です	0	0
510	eldest son	ちょうなん	His oldest son is eight years old.	かれ の <b>ちょうなん</b> は はっさい です	0	0
511	eldest daughter	ちょうじょ	Our oldest daughter is ten.	うち の <b>ちょうじょ</b> は じゅっさい です	0	0
512	apartment, flat, apartment house	アパート	He lives in an apartment.	かれ は <b>あぱーと</b> に すんで います	0	0
513	spread out, reach	ひろがる	My world expanded after studying abroad.	りゅうがく して から わたし の せかい が <b>ひろがった</b>	0	0
514	area, extent	ひろさ	How big is that house?	その いえ の <b>ひろさ</b> は どれ くらい です か	0	0
515	strange, weird, funny@vicinity, part	へん	I hear a strange sound.@He lives around here.	<b>へん</b> な おと が きこえます@かれ は この<b>へん</b> に すんで います	0	0
516	whole, total	ぜんたい	80 percent of the total was completed.	<b>ぜんたい</b> の はちじゅっぱーせんと が かんせい しました	0	0
517	entirely, truly, indeed	まったく	I don't understand at all.	わたし に は <b>まったく</b> わかりません	0	0
518	record	レコード	I put on a jazz record.	じゃず の <b>れこーど</b> を かけました	0	0
519	thick, bulky@hot, warm (temperature of the air)@hot (things, touch)	あつい	That dictionary is very thick.@It's very hot today.@This soup is very hot.	その じしょ は とても <b>あつい</b>@きょう は とても <b>あつい</b>@この すーぷ は とても <b>あつい</b>	0	0
520	safety, security	あんぜん	Safety comes first.	<b>あんぜん</b> が だいいち です	0	0
521	part	いちぶ	Let's change part of the plan.	けいかく を <b>いちぶ</b> へんこう しましょう	0	0
522	part, section	ぶぶん	There's no problem with this part.	この <b>ぶぶん</b> は もんだい ない です	0	0
523	domestic, internal	こくない	You can only use this mobile phone domestically.	この けいたい でんわ が つかえる の は <b>こくない</b> だけ です	0	0
524	the whole country	ぜんこく	And now for the nation's weather.	つぎ は <b>ぜんこく</b> の おてんき です	0	0
525	foreign country	がいこく	My mother hasn't been abroad yet.	はは は まだ <b>がいこく</b> に いった こと が ありません	0	0
526	National Diet, parliament	こっかい	The Diet reconvened.	<b>こっかい</b> が さいかい した	0	0
527	build, erect@stand, set up, establish	たてる	We're building a house next year.@He stuck the candles into the cake.	わたしたち は らいねん いえ を <b>たてます</b>@かれ は けーき に ろうそく を <b>たてた</b>	0	0
528	return to one's country	きこく	He returned to his country.	かれ は <b>きこく</b> しました	0	0
529	camera	カメラ	The camera broke.	<b>かめら</b> が こわれた	0	0
530	foreigner	がいこくじん	The number of foreigners living in Japan is increasing.	にほん に すむ <b>がいこくじん</b> が ふえて います	0	0
531	foreign language	がいこくご	Learning foreign languages is hard.	<b>がいこくご</b> を ならう の は むずかしい	0	0
532	world	せかい	I want to travel around the world.	わたし は <b>せかい</b> りょこう を したい	0	0
533	tape, cassette	テープ	She recorded the conversation on tape.	かのじょ は その かいわ を <b>てーぷ</b> に ろくおん した	0	0
534	black, dark	くろい	She's wearing a black dress.	かのじょ は <b>くろい</b> どれす を きて います	0	0
535	black	くろ	Do you have a black pen?	<b>くろ</b> の ぼーるぺん は あります か	0	0
536	baby	あかちゃん	The baby's sleeping in the bed.	べっど で <b>あかちゃん</b> が ねむって います	0	0
537	red, crimson	あか	The traffic light changed to red.	しんごう が <b>あか</b> に かわりました	0	0
538	beer, lager	ビール	Beer tastes really good in summer.	なつ は <b>びーる</b> が とても おいしい	0	0
539	bank	ぎんこう	The bank is open until three o'clock.	<b>ぎんこう</b> は さんじ まで あいて います	0	0
540	silver	ぎん	He got the silver medal.	かれ は <b>ぎん</b>めだる を とった	0	0
541	subway	ちかてつ	I commute to work by subway.	わたし は <b>ちかてつ</b> で つうきん して います	0	0
542	beef	ぎゅうにく	I bought beef for dinner.	ゆうしょく に <b>ぎゅうにく</b> を かった	0	0
543	page	ページ	Please open to page 32.	さんじゅうに<b>ぺーじ</b> を ひらいて ください	0	0
544	flesh, meat	にく	The meat is cooked.	<b>にく</b> が やけました	0	0
545	fish	さかな	Which do you prefer, meat or fish?	にく と <b>さかな</b> と どちら が すき です か	0	0
546	field, sphere	ぶんや	Music is his field of specialty.	おんがく は かれ の とくい な <b>ぶんや</b> です	0	0
547	vegetable	やさい	I eat a lot of vegetables every day.	わたし は まいにち たくさん <b>やさい</b> を たべます	0	0
548	chart, graph	グラフ	He made a chart of the sales figures.	かれ は うりあげ を <b>ぐらふ</b> に した	0	0
549	bookstore, bookseller	ほんや	There's a bookstore in front of the station.	えきまえ に <b>ほんや</b> が あります	0	0
550	vegetable store, greengrocer	やおや	I bought a tangerine at the grocery store.	<b>やおや</b> で みかん を かいました	0	0
551	soba restaurant	そばや	I went to a noodle shop for lunch.	ひる は <b>そばや</b> に いきました 。	0	0
552	cigarette shop, tobacco store	たばこや	I bought a lighter from the cigarette shop.	わたし は <b>たばこや</b> で らいたー を かった	0	0
553	post box, letter box	ポスト	I put the letter in the mailbox.	てがみ を <b>ぽすと</b> に いれました	0	0
554	tea (plain form)	ちゃ	We drink tea every day.	わたしたち は まいにち お<b>ちゃ</b> を のみます	0	0
555	tea (polite)	おちゃ	Shall I make tea?	<b>おちゃ</b> を いれましょう か	0	0
556	tea cup, rice bowl	ちゃわん	I put some rice into the rice bowl.	<b>ちゃわん</b> に ごはん を よそいました	0	0
557	taste, flavor	あじ	This food is tasteless.	この りょうり は <b>あじ</b> が うすい	0	0
558	test, exam	テスト	Please start the test.	<b>てすと</b> を はじめて ください	0	0
559	future	みらい	Nobody knows the future.	<b>みらい</b> は だれ に も わからない	0	0
560	weekend	しゅうまつ	On the weekend I relax at home.	<b>しゅうまつ</b> は うち で ゆっくり します	0	0
561	cooking, handling	りょうり	My mother is good at cooking.	はは は <b>りょうり</b> が とくい です	0	0
562	all over	あちこち	We strolled about here and there from the morning.	わたしたち は あさ から <b>あちこち</b> さんぽ しました	0	0
563	composition, essay	さくぶん	I wrote an essay in Japanese.	にほんご で <b>さくぶん</b> を かきました	0	0
564	use, make use of	もちいる	He conveyed his feelings through poetry.	かれ は その し を <b>もちいて</b> じぶん の きもち を つたえた	0	0
565	golf	ゴルフ	My older brother started playing golf.	あに は <b>ごるふ</b> を はじめました	0	0
566	traveling expense, transportation cost	こうつうひ	Transportation to the company costs 8,000 yen a month.	かいしゃ まで の <b>こうつうひ</b> は いっかげつ はっせんえん です	0	0
567	be extinguished, disappear	きえる	Suddenly the electricity went out.	とつぜん でんき が <b>きえた</b>	0	0
568	eraser	けしごむ	Please lend me your eraser.	<b>けしごむ</b> を かして ください	0	0
569	go down, come down@get off, land	おりる	Please go down those stairs.@I get off at the next station.	そこ の かいだん を <b>おりて</b> ください@つぎ の えき で <b>おります</b>。	0	0
570	radio	ラジオ	She's listening to the radio.	かのじょ は <b>らじお</b> を きいて います	0	0
571	sell, be in demand	うれる	Air conditioners sold well this summer.	ことし の なつ は くーらー が よく <b>うれた</b>	0	0
572	bring down, take down, pull down@unload, set down	おろす	Please take the box down from the shelf.@He unloaded the luggage from the car.	たな から その はこ を <b>おろして</b> ください@かれ は くるま から にもつ を <b>おろした</b>	0	0
573	become@become@sound, ring, roar	なる	He became a doctor.@A lot of fruit is ripening on the persimmon tree.@The telephone rang this morning at five o'clock.	かれ は いしゃ に <b>なりました</b>@かきのき に み が たくさん <b>なって います</b>@けさ ごじ に でんわ が <b>なった</b>	0	0
574	sales floor, department	うりば	Where is the shoe department?	くつ<b>うりば</b> は どこ です か	0	0
575	clerk, salesperson	てんいん	That shop clerk is very kind.	あの <b>てんいん</b> は とても しんせつ です	0	0
576	booth, store	ばいてん	I bought a magazine at a shop in the station.	えき の <b>ばいてん</b> で ざっし を かった	0	0
577	taxi, cab	タクシー	Please call a taxi.	<b>たくしー</b> を よんで ください	0	0
578	work of art, piece	さくひん	This painting is one of van Gogh's works.	この え は ごっほ の <b>さくひん</b> だ	0	0
579	sale, selling	はんばい	Advance tickets are being sold at the ticket window.	まえうりけん は まどぐち で <b>はんばい</b> して います	0	0
580	second floor, upstairs	にかい	My elder brother is on the second floor.	あに は <b>にかい</b> に います	0	0
581	slowly	ゆっくり	Please speak more slowly.	もっと <b>ゆっくり</b> はなして ください	0	0
582	stage	だんかい	At this stage, it is still early to decide.	この <b>だんかい</b> で は けつだん する の は まだ はやい	0	0
583	gradually, one after another	だんだん	My work has gradually become more enjoyable.	<b>だんだん</b> しごと が たのしく なって きました	0	0
584	price	ねだん	The price of this belt was 2,500 yen.	この べると の <b>ねだん</b> は にせんごひゃくえん でした	0	0
585	restaurant	レストラン	I ate Indian food at the restaurant.	<b>れすとらん</b> で いんど りょうり を たべました	0	0
586	price, cost	かかく	The price of gasoline keeps going up fast.	がそりん の <b>かかく</b> が どんどん あがって いる	0	0
587	passing an examination, eligibility	ごうかく	My daughter passed the university entrance exam.	むすめ が にゅうがく しけん に <b>ごうかく</b> しました	0	0
588	one@position, place	いち	Let's start from the beginning.@My town is located north of Tokyo.	<b>いち</b> から はじめましょう@わたし の まち は とうきょう の きた に <b>いち</b> します	0	0
589	summer vacation	なつやすみ	Today's the last day of summer vacation.	きょう が <b>なつやすみ</b> さいご の ひ だ	0	0
590	winter vacation	ふゆやすみ	I'm going to grandpa's house during winter break.	<b>ふゆやすみ</b> に おじいちゃん の うち に いきます	0	0
591	card, credit card	カード	Please pay by card.	しはらい は <b>かーど</b> で おねがい します	0	0
592	heat, fever	ねつ	I had a fever last night.	きのう の よる <b>ねつ</b> が でました	0	0
593	coldness, cold	さむさ	It will probably be extremely cold today.	きょう は きびしい <b>さむさ</b> に なる でしょう	0	0
594	casual job, student job, part-time job	アルバイト	My big brother works part-time.	あに は <b>あるばいと</b> を して います	0	0
595	warm, warm up, heat up	あたためる	I'm warming up the car now.	いま くるま を <b>あたためています</b>	0	0
596	get warm	あたたまる	The room hasn't warmed up yet.	まだ へや が <b>あたたまらない</b>。	0	0
597	temperature	おんど	This room's temperature is currently 25 degrees.	いま へや の <b>おんど</b> は にじゅうごど だ	0	0
598	temperature	きおん	Today's temperature is 26 degrees.	きょう の <b>きおん</b> は にじゅうろくど です	0	0
599	copy, photocopy	コピー	I handed out copies of the document at the meeting.	かいぎ で しょるい の <b>こぴー</b> を くばった	0	0
600	typhoon	たいふう	The typhoon's getting closer.	<b>たいふう</b> が ちかづいて いる	0	0
601	circumstances, conditions	じじょう	I understand your situation well.	あなた の <b>じじょう</b> は よく わかりました	0	0
602	hit, bump into	ぶつかる	The car crashed into the telephone pole.	くるま が でんちゅう に <b>ぶつかった</b>	0	0
603	information	じょうほう	The students gathered all kinds of information on the Internet.	がくせいたち は いんたーねっと で いろいろな <b>じょうほう</b> を あつめた	0	0
604	report	ほうこく	There's a report about yesterday's conference.	きのう の かいぎ に ついて <b>ほうこく</b> が あります	0	0
605	newspaper	しんぶん	Where did you put today's newspaper?	きょう の <b>しんぶん</b> どこ に おいた	0	0
606	film	フィルム	I bought a lot of film for the trip.	りょこう の ため に たくさん <b>ふぃるむ</b> を かった	0	0
607	center, middle	ちゅうしん	This is the center of the building.	ここ が たてもの の <b>ちゅうしん</b> です	0	0
608	peace of mind, relief	あんしん	I was relieved to hear that.	それ を きいて <b>あんしん</b> しました	0	0
609	recollect, recall	おもいだす	I just remembered something important I need to take care of.	たいせつ な ようじ を <b>おもいだしました</b>	0	0
610	stop, turn off@lodge, give shelter	とめる	Stop the car.@I put my friend up at my house.	くるま を <b>とめて</b>@ともだち を うち に <b>とめて あげました</b>	0	0
611	department store, department	デパート	I bought shoes at the department store.	わたし は <b>でぱーと</b> で くつ を かった	0	0
612	recollections, memory	おもいで	I made wonderful memories during my trip.	りょこう で たのしい <b>おもいで</b> が できました	0	0
613	thought, view, idea	かんがえ	That's a good idea.	それ は いい <b>かんがえ</b> です	0	0
614	solution, settlement	かいけつ	The problem has finally been solved.	とらぶる が やっと <b>かいけつ</b> した	0	0
615	let know, inform	しらせる	I informed everyone of the day of the meeting.	みんな に かいぎ の ひにち を <b>しらせた</b>	0	0
616	bed	ベッド	He's sleeping in the bed.	かれ は <b>べっど</b> で ねて います	0	0
617	ability, capacity	のうりょく	He's a resourceful employee.	かれ は <b>のうりょく</b> の ある しゃいん です	0	0
618	possible, potential	かのう	Do you think it's possible to go on a twenty kilogram diet?	にじゅっきろ の だいえっと は <b>かのう</b> だ と おもいます か	0	0
619	mail service, postal matter	ゆうびん	The mail has just arrived.	さっき <b>ゆうびん</b> が とどきました	0	0
620	inconvenient	ふべん	My house is inconveniently located far from the station.	わたし の いえ は えき から とおく て <b>ふべん</b> です	0	0
621	mailman	ゆうびんやさん	Has the postman already come?	<b>ゆうびんやさん</b> は もう きました か	0	0
622	post office	ゆうびんきょく	I bought a stamp at the post office.	<b>ゆうびんきょく</b>で きって を かいました	0	0
623	police box	こうばん	Let's ask for directions at that police box.	あそこ の <b>こうばん</b> で みち を ききましょう	0	0
624	note book, laptop	ノート	Please open your notebook.	<b>のーと</b> を ひらいて ください	0	0
625	lot number, address	ばんち	Do you know the building's plot number?	その たてもの の <b>ばんち</b> は わかります か	0	0
626	number, serial number	ばんごう	Please call this number.	この <b>ばんごう</b> に でんわ して ください	0	0
627	place, space	ばしょ	Please tell me where the office is.	かいしゃ の <b>ばしょ</b> を おしえて ください	0	0
628	neighborhood	きんじょ	A Canadian lives in my neighborhood.	<b>きんじょ</b> に かなだじん が すんで いる	0	0
629	wine	ワイン	I drank a little wine.	<b>わいん</b> を すこし のみました	0	0
630	kitchen	だいどころ	Mother's in the kitchen.	おかあさん は <b>だいどころ</b> に います	0	0
631	one's dwelling, address	じゅうしょ	Please go to this address.	この <b>じゅうしょ</b> に いって ください	0	0
632	lavatory, bathroom	べんじょ	The bathroom is there.	<b>べんじょ</b> は そこ です	0	0
633	famous	ゆうめい	Bordeau is famous for wine production.	ぼるどー は わいん の せいさん で <b>ゆうめい</b> だ	0	0
634	hundred million@inner part, the back, inner chamber@put, leave	おく	The world's population is 6.5 billion people.@The scissors were at the back of the desk.@He put the bag on the chair.	せかい じんこう は ろくじゅうご<b>おく</b>にん だ@はさみ は つくえ の <b>おく</b> に あった@かれ は かばん を いす の うえ に <b>おきました</b>	0	0
635	surname, family name	みょうじ	What's your surname?	あなた の <b>みょうじ</b> は なん です か	0	0
636	name	しめい	Please write your name and address here.	ここ に じゅうしょ と <b>しめい</b> を かいて ください	0	0
637	every country	かっこく	Each country's representatives assembled in New York.	<b>かっこく</b> の だいひょう が にゅーよーく に あつまった	0	0
638	town, machi, city quarter	まち	That town is increasing its greenery.	あの <b>まち</b> は みどり を ふやして います	0	0
639	toilet	トイレ	Did you clean the toilet?	<b>といれ</b> を そうじ しました か	0	0
640	be cured, get well@be repaired, return to normal	なおる	Is your injury better yet?@The air conditioner hasn't been repaired yet.	けが は もう <b>なおりました</b> か@くーらー は まだ <b>なおりません</b>	0	0
641	circumstances	つごう	I can't go today because it's not convenient for me.	きょう は <b>つごう</b> が わるくて いけません	0	0
642	breakfast	あさごはん	I ate breakfast at seven o'clock.	しちじ に <b>あさごはん</b> を たべました	0	0
643	shopping, purchase	かいもの	My mother's gone shopping.	はは は <b>かいもの</b> に でかけて います	0	0
644	be divided, disperse, branch off@separate, part from	わかれる	Opinion was divided within the group.@I parted with my friend at the station.	ぐるーぷ の なか で いけん が <b>わかれました</b>@えき で ともだち と <b>わかれました</b>	0	0
645	camping, camp	キャンプ	I went camping with a friend.	ともだち と <b>きゃんぷ</b> に いった	0	0
646	baggage, load	にもつ	I sent a package to his house.	かれ の いえ に <b>にもつ</b> を おくりました	0	0
647	article, thing	しなもの	The shop sells a lot of products.	その みせ は いろいろ な <b>しなもの</b> を うって いる	0	0
648	sightseeing, visit	けんぶつ	We all went sightseeing in Tokyo.	みんな で とうきょう <b>けんぶつ</b> を した	0	0
649	plastic	プラスチック	This cup is plastic.	この かっぷ は <b>ぷらすちっく</b> です	0	0
650	something left behind, lost item	わすれもの	I left something behind at school.	がっこう に <b>わすれもの</b> を しました	0	0
651	weight	おもさ	Please weigh this luggage.	この にもつ の <b>おもさ</b> を はかって ください	0	0
652	hand out, distribute, allot	くばる	I handed out the document at the meeting.	かいぎ で しょるい を <b>くばった</b>	0	0
653	delivery	はいたつ	He's delivering newspapers.	かれ は しんぶん <b>はいたつ</b> を して いる	0	0
654	color	カラー	How much is one color copy?	<b>からー</b>こぴー は いちまい いくら です か	0	0
655	anxiety, worry, good offices	しんぱい	I'm worried about tomorrow's presentation.	あす の ぷれぜんてーしょん が <b>しんぱい</b> だ	0	0
656	see (someone) off	みおくる	I saw him off on his trip overseas.	かれ が がいこく に いく の を <b>みおくりました</b>	0	0
657	seeing someone off	みおくり	I went to the station to see off a friend.	えき に ゆうじん の <b>みおくり</b> に いきました	0	0
658	receive, accept	うける	He took an exam to apply for a job.	かれ は しゅうしょく しけん を <b>うけた</b>	0	0
659	piano	ピアノ	I used to learn the piano.	むかし <b>ぴあの</b> を ならって いました	0	0
660	receive, understand	うけとる	I got an email from him.	かれ から めーる を <b>うけとりました</b>	0	0
661	write down, note down	かきとる	I wrote down the main points of what was said.	はなし の ぽいんと を <b>かきとった</b>	0	0
662	reach, be received	とどく	I got a letter from my father yesterday.	きのう ちち から てがみ が <b>とどいた</b>	0	0
663	ski, skiing	スキー	We go skiing a lot in winter.	ふゆ は よく <b>すきー</b> に いきます	0	0
664	deliver, give notice	とどける	Please send this to him.	これ を かれ に <b>とどけて</b> ください	0	0
665	wealthy person	かねもち	He's rich.	かれ は <b>かねもち</b> です	0	0
666	take	もっていく	Let's take some water with us.	みず を <b>もっていきましょう</b>	0	0
667	bring	もってくる	Please bring that chair.	その いす を <b>もって きて</b> ください	0	0
668	throw, abandon	なげる	Please throw the ball over here.	ぼーる を こっち に <b>なげて</b> ください	0	0
669	be born, come into existence	うまれる	My sister and her husband had a baby boy.	あね ふうふ に おとこのこ が <b>うまれました</b>	0	0
670	pool	プール	I went to the pool during summer vacation.	わたし は なつやすみ に <b>ぷーる</b> に いった	0	0
671	have children	うむ	Our cat had kittens.	うち の ねこ が こねこ を <b>うみました</b>	0	0
672	woman, female	じょせい	How many women are coming to that party?	その ぱーてぃー に <b>じょせい</b> は なんにん きます か	0	0
673	souvenir	おみやげ	My father bought some sweets as a souvenir.	ちち は <b>おみやげ</b> に おかし を かって きた	0	0
674	platform	ホーム	The train will arrive on this platform soon.	もうすぐ この <b>ほーむ</b> に でんしゃ が きます	0	0
675	life, living	せいかつ	Life in Japan is fun.	にほん で の <b>せいかつ</b> は たのしい です	0	0
676	pupil, student	せいと	There are 30 students in this class.	この くらす の <b>せいと</b> は さんじゅうにん です	0	0
677	junior high school	ちゅうがく	My son goes to junior high.	むすこ は <b>ちゅうがく</b> に かよって います	0	0
678	enter a school, matriculate	にゅうがく	My little sister's entering college in the United States in September.	いもうと は くがつ に あめりか の だいがく に <b>にゅうがく</b> します	0	0
679	elevator	エレベーター	Let's take the elevator down.	<b>えれべーたー</b> で した に おりましょう	0	0
680	junior high school student	ちゅうがくせい	My son is a junior high school student.	むすこ は <b>ちゅうがくせい</b> です	0	0
681	schoolchildren, schoolboy	しょうがくせい	Our son will start primary school next year.	うち の むすこ は らいねん <b>しょうがくせい</b> に なります	0	0
682	observation tour, study tour, field trip	けんがく	We went on a field trip to a factory today.	きょう こうじょう の <b>けんがく</b> に いきました	0	0
683	attending school, going to school	つうがく	It takes me an hour to go to school every morning.	まいあさ <b>つうがく</b> に いちじかん かかる	0	0
684	memorandum, memo pad	メモ	Please take notes.	<b>めも</b> を とって ください	0	0
685	high school	こうこう	My little sister goes to high school.	いもうと は <b>こうこう</b> に かよって います	0	0
686	elementary school	しょうがっこう	There's an elementary school near my house.	いえ の ちかく に <b>しょうがっこう</b> が あります	0	0
687	junior high school	ちゅうがっこう	My son's junior high is five minutes from our house.	むすこ の <b>ちゅうがっこう</b> は いえ から ごふん です	0	0
688	bread	パン	I always eat bread for breakfast.	あさごはん に は いつも <b>ぱん</b> を たべる	0	0
689	education	きょういく	He received his education abroad.	かれ は かいがい で <b>きょういく</b> を うけました	0	0
690	bring up, breed	そだてる	She raised three children.	かのじょ は さんにん の こ を <b>そだてました</b>	0	0
691	surprised	びっくりする	I was startled by a sudden sound.	おおきな おと に <b>びっくり しました</b>	0	0
692	be brought up, grow	そだつ	The vegetables are growing well.	やさい が よく <b>そだって いる</b>	0	0
693	system, organization	せいど	A new system will start from next year.	らいねん から あたらしい <b>せいど</b> が はじまります	0	0
694	strength, power	つよさ	I was surprised by the strength of the wind.	かぜ の <b>つよさ</b> に おどろきました	0	0
695	transaction, dealings	とりひき	We're dealing with a Chinese company.	わたしたち は ちゅうごく の かいしゃ と <b>とりひき</b> して います	0	0
696	court@coat, jacket	コート	I played tennis on the new court.@I put on a coat because it was cold.	あたらしい <b>こーと</b> で てにす を しました@さむかった の で <b>こーと</b> を きた	0	0
697	trousers, pants	ズボン	My trousers got dirty.	<b>ずぼん</b> が よごれた	0	0
698	drawer, withdrawal	ひきだし	My purse is in the drawer.	さいふ は <b>ひきだし</b> の なか に あります	0	0
699	closet	おしいれ	I put my futon in the closet.	ふとん を <b>おしいれ</b> に しまいました	0	0
700	practice, training	れんしゅう	My daughter is practicing the violin now.	むすめ は いま ばいおりん を <b>れんしゅう</b> して います	0	0
701	strange, peculiar, suspicious@funny, amusing, comical	おかしい	He's acting strange.@His story was funny.	かれ の ようす が <b>おかしい</b>@かれ の はなし は <b>おかしかった</b>	0	0
702	toy, plaything	おもちゃ	The baby's playing with the toy car.	あかちゃん が じどうしゃ の <b>おもちゃ</b> で あそんで いる	0	0
703	grow accustomed to	なれる	Have you gotten used to the new house yet?	あたらしい いえ に は もう <b>なれました</b> か	0	0
704	research, study	けんきゅう	He's been researching earthquakes for many years.	かれ は なんねん も じしん の <b>けんきゅう</b> を して いる	0	0
705	gram	グラム	Please give me 200 grams of ground (beef, chicken, etc.)	ひきにく を にひゃく<b>ぐらむ</b> ください	0	0
706	test, examination	しけん	Good luck on tomorrow's exam.	あした の <b>しけん</b> がんばって ね	0	0
707	problem, question	もんだい	There's one problem.	<b>もんだい</b> が ひとつ あります	0	0
708	stop, give up, abolish@resign, retire	やめる	Stop talking, please.@He's leaving the company.	はなす の を <b>やめて</b> ください@かれ は かいしゃ を <b>やめます</b>	0	0
709	simple, easy	かんたん	This dish is very easy to make.	この りょうり は とても <b>かんたん</b> です	0	0
710	complicated, intricate	ふくざつ	This program is very complicated.	この ぷろぐらむ は とても <b>ふくざつ</b> です	0	0
711	coffee	コーヒー	I drink coffee every morning.	わたし は まいあさ <b>こーひー</b> を のみます	0	0
712	figure, numeral	すうじ	I'm not good with numbers.	<b>すうじ</b> は にがて です	0	0
713	mathematics	すうがく	My big brother's a math teacher.	あに は <b>すうがく</b> の せんせい です	0	0
714	count, calculate	かぞえる	Please count the number of chairs.	いす の かず を <b>かぞえて</b> ください	0	0
715	this time	こんかい	Well, I'll let you off this time.	まあ <b>こんかい</b> は ゆるして あげよう	0	0
716	tent	テント	We all put up the tent together.	みんな で <b>てんと</b> を はりました	0	0
717	turn round, go round, detour	まわる	The moon spins around the earth.	つき は ちきゅう の まわり を <b>まわって います</b>	0	0
718	turn, rotate	まわす	If you turn the screw to the left it will come undone.	ねじ は ひだり に <b>まわす</b> と はずれます	0	0
719	individual	こじん	This is my personal opinion.	これ は わたし <b>こじん</b> の いけん です	0	0
720	person in charge	たんとう	I'm in charge of sales.	わたし は せーるす を <b>たんとう</b> して います	0	0
721	boat	ボート	I got on the boat at the pond.	いけ で <b>ぼーと</b> に のりました	0	0
722	hit, strike	あたる	The ball hit him on the head.	ぼーる が かれ の あたま に <b>あたった</b>	0	0
723	at that time, at the present time	とうじ	She was only three years old at the time.	かのじょ は <b>とうじ</b> まだ さんさい だった	0	0
724	truth, reality	ほんとう	Is the story true?	その はなし は <b>ほんとう</b> です か	0	0
725	natural, as a matter of course	とうぜん	It's natural that she should be angry.	かのじょ が おこる の も <b>とうぜん</b> だ	0	0
726	ball	ボール	He threw the ball.	かれ は <b>ぼーる</b> を なげた	0	0
727	wholly, at all	ぜんぜん	This book wasn't interesting at all.	この ほん は <b>ぜんぜん</b> おもしろく なかった	0	0
728	method, procedure	ほうほう	We hit on a good method.	いい <b>ほうほう</b> を おもいつきました	0	0
729	law	ほうりつ	A new law has been passed.	あたらしい <b>ほうりつ</b> が できた	0	0
730	rule, regulation	きそく	That company's rules are strict.	あの かいしゃ の <b>きそく</b> は きびしい です	0	0
731	motorbike, motorcycle	オートバイ	He rides a motorcycle.	かれ は <b>おーとばい</b> に のって いる	0	0
732	experience	けいけん	Today's game was a good experience.	きょう の しあい は いい <b>けいけん</b> に なりました	0	0
733	economy, economics	けいざい	I studied economics in college.	だいがく で <b>けいざい</b> を べんきょう しました	0	0
734	management, operation	けいえい	Our company is well managed.	わがしゃ の <b>けいえい</b> は うまく いって います	0	0
735	cruel, severe	ひどい	I had an awful fight with my little sister.	いもうと と <b>ひどい</b> けんか を した	0	0
736	stocks, shares	かぶ	I recently started investing in stocks.	さいきん <b>かぶ</b> を はじめました	0	0
737	corporation, business	きぎょう	She works in an American company.	かのじょ は あめりか の <b>きぎょう</b> で はたらいて います	0	0
738	work, operation	さぎょう	I need a bigger space to work.	<b>さぎょう</b> する に は もっと ひろい すぺーす が ひつよう だ	0	0
739	industry	さんぎょう	The Japanese auto industry is famous worldwide.	にほん の じどうしゃ <b>さんぎょう</b> は せかいてき に ゆうめい だ	0	0
740	you	あなた	I'll give you this book.	この ほん <b>あなた</b> に あげます	0	0
741	industry, manufacturing industry	こうぎょう	That's an industrial city.	そこ は <b>こうぎょう</b> とし だ	0	0
742	commerce, trade	しょうぎょう	Business is thriving in this city.	この まち で は <b>しょうぎょう</b> が さかん だ	0	0
743	utilization, usage	りよう	I often use the library.	わたし は よく としょかん を <b>りよう</b> します	0	0
744	convenience, handiness	べんり	The Internet is very convenient.	いんたーねっと は とても <b>べんり</b> です	0	0
745	switch	スイッチ	He hit the switch on his car radio.	かれ は かーらじお の <b>すいっち</b> を いれた	0	0
746	skill, technology	ぎじゅつ	He has very advanced skills.	かれ は ひじょう に たかい <b>ぎじゅつ</b> を もって いる	0	0
747	surgical operation	しゅじゅつ	My father had a chest operation.	ちち は むね の <b>しゅじゅつ</b> を した	0	0
